iter	MAE
0	4865.552929
1	4718.564637
2	4574.969885
3	4483.683208
4	4340.115035
5	4220.545686
6	4124.567424
7	4012.972675
8	3928.663729
9	3856.439602
10	3777.004771
11	3692.958565
12	3624.310829
13	3533.332492
14	3457.797158
15	3387.174568
16	3311.392877
17	3234.69857
18	3184.506415
19	3119.198212
20	3058.958822
21	3003.440063
22	2953.839722
23	2914.715251
24	2858.546305
25	2815.338071
26	2777.7438
27	2741.592058
28	2695.67923
29	2649.730558
30	2614.348241
31	2582.489996
32	2543.304501
33	2504.902274
34	2463.456973
35	2430.069045
36	2409.764958
37	2383.276758
38	2354.647078
39	2331.433183
40	2304.430061
41	2273.870415
42	2253.705398
43	2232.157038
44	2209.250254
45	2189.77564
46	2173.260393
47	2160.301071
48	2135.19262
49	2119.739017
50	2104.232464
51	2087.560469
52	2075.088147
53	2063.296995
54	2046.936699
55	2037.125029
56	2025.234854
57	2013.662069
58	2006.301809
59	1996.727714
60	1985.202806
61	1975.276544
62	1969.460413
63	1958.660612
64	1951.945451
65	1944.915845
66	1941.061483
67	1934.175854
68	1928.017846
69	1922.098452
70	1916.849289
71	1911.220062
72	1903.951678
73	1897.812356
74	1894.238698
75	1890.483621
76	1886.704692
77	1884.161718
78	1877.058496
79	1873.59352
80	1867.632102
81	1862.314447
82	1858.567417
83	1855.660345
84	1848.368965
85	1845.865162
86	1842.036839
87	1837.488741
88	1834.793366
89	1829.763579
90	1828.278666
91	1825.420268
92	1824.006322
93	1822.589463
94	1816.513449
95	1812.943158
96	1808.733139
97	1806.028225
98	1803.598096
99	1802.400149
100	1801.265813
101	1799.289848
102	1798.297224
103	1795.598441
104	1794.037326
105	1792.80385
106	1792.03514
107	1789.604915
108	1788.741734
109	1784.711269
110	1783.001682
111	1780.358521
112	1778.866002
113	1776.134621
114	1774.806742
115	1773.927405
116	1772.625635
117	1771.707234
118	1767.396636
119	1766.905248
120	1765.596407
121	1762.653196
122	1761.439606
123	1758.133748
124	1756.677515
125	1754.797997
126	1753.89928
127	1751.365866
128	1749.446734
129	1747.665633
130	1745.788106
131	1743.728869
132	1740.923718
133	1739.89728
134	1739.136632
135	1738.5789
136	1736.372982
137	1735.476853
138	1733.93511
139	1732.765513
140	1732.11682
141	1731.011698
142	1728.835667
143	1728.037136
144	1726.696047
145	1724.686644
146	1723.818908
147	1720.399774
148	1719.29463
149	1716.842506
150	1716.050842
151	1714.297263
152	1712.997187
153	1712.080489
154	1709.930649
155	1708.637177
156	1707.208395
157	1706.137557
158	1704.457545
159	1702.305979
160	1701.262753
161	1700.158664
162	1698.806448
163	1697.4354
164	1696.679377
165	1695.017731
166	1694.461505
167	1692.541763
168	1691.634995
169	1689.821052
170	1687.590393
171	1686.514808
172	1683.352268
173	1682.201646
174	1679.839973
175	1677.799051
176	1676.54768
177	1675.500062
178	1674.098308
179	1672.550792
180	1671.849626
181	1670.437862
182	1669.81668
183	1669.322167
184	1668.266391
185	1666.042207
186	1660.63361
187	1660.166936
188	1657.68429
189	1656.592183
190	1654.594513
191	1652.450356
192	1651.700686
193	1650.411227
194	1649.611557
195	1648.890746
196	1647.489767
197	1646.879546
198	1644.056436
199	1642.410307
