iter	Passed	Remaining
0	1	1596
1	2	1145
2	2	962
3	3	860
4	4	805
5	4	777
6	5	745
7	5	720
8	6	706
9	6	689
10	7	669
11	7	655
12	8	643
13	8	631
14	9	623
15	9	613
16	10	604
17	11	616
18	11	609
19	12	606
20	12	595
21	13	586
22	13	586
23	14	578
24	14	570
25	15	562
26	15	556
27	15	550
28	16	549
29	17	566
30	17	559
31	18	553
32	18	547
33	19	541
34	19	536
35	19	532
36	20	528
37	20	523
38	21	519
39	21	515
40	21	512
41	22	508
42	22	504
43	23	501
44	23	498
45	23	494
46	24	489
47	24	486
48	24	482
49	25	479
50	25	476
51	26	474
52	26	470
53	26	467
54	27	466
55	27	464
56	28	466
57	28	464
58	28	462
59	29	460
60	29	458
61	30	456
62	30	453
63	30	451
64	31	449
65	31	447
66	32	455
67	33	453
68	33	451
69	33	449
70	34	447
71	34	445
72	34	443
73	35	441
74	35	439
75	35	437
76	36	435
77	36	433
78	37	431
79	37	429
80	37	427
81	38	426
82	38	424
83	38	422
84	39	420
85	39	419
86	39	417
87	40	415
88	40	414
89	40	412
90	41	410
91	41	409
92	41	407
93	42	406
94	42	405
95	43	405
96	43	404
97	43	403
98	44	402
99	44	401
100	44	400
101	45	399
102	45	397
103	46	396
104	46	394
105	46	393
106	47	392
107	47	391
108	47	390
109	48	389
110	48	387
111	48	386
112	49	386
113	49	386
114	50	386
115	50	385
116	50	384
117	51	384
118	51	384
119	52	384
120	52	384
121	53	383
122	53	382
123	53	381
124	54	380
125	54	379
126	55	378
127	55	377
128	55	376
129	56	375
130	56	374
131	56	373
132	57	372
133	57	371
134	57	370
135	58	374
136	59	373
137	59	372
138	60	372
139	60	371
140	60	370
141	61	369
142	61	368
143	61	367
144	62	366
145	62	365
146	62	365
147	63	364
148	63	364
149	64	363
150	64	362
151	64	361
152	65	361
153	65	359
154	65	358
155	66	358
156	66	357
157	66	356
158	67	355
159	67	354
160	68	354
161	68	353
162	68	353
163	69	352
164	69	352
165	69	351
166	70	351
167	70	350
168	71	349
169	71	349
170	71	348
171	72	348
172	72	347
173	73	346
174	73	346
175	73	345
176	74	345
177	74	346
178	75	345
179	75	345
180	76	344
181	76	344
182	76	343
183	77	342
184	77	341
185	77	341
186	78	340
187	78	339
188	78	338
189	79	338
190	79	337
191	80	336
192	80	336
193	80	335
194	81	334
195	81	334
196	81	333
197	82	332
198	82	331
199	82	331
200	83	330
201	83	329
202	83	328
203	84	328
204	84	327
205	84	326
206	85	326
207	85	325
208	85	324
209	86	324
210	86	323
211	86	323
212	87	322
213	87	321
214	87	320
215	88	320
216	88	319
217	88	319
218	89	318
219	89	317
220	89	317
221	90	316
222	90	315
223	90	315
224	91	314
225	91	314
226	92	314
227	92	313
228	92	313
229	93	312
230	93	311
231	94	311
232	94	310
233	94	310
234	95	309
235	95	309
236	95	309
237	96	308
238	96	307
239	97	307
240	97	306
241	97	305
242	98	305
243	98	304
244	98	304
245	99	303
246	99	303
247	99	302
248	100	302
249	100	301
250	100	301
